,title,description,exploitability,risk_level,cve_id,platform,consequences,privilege,access_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact
0,JetBrains Kotlin information disclosure,"JetBrains Kotlin could allow a local authenticated attacker to obtain sensitive information, caused by an insecure permission flaw when creating temporary file and folder by the Java API. By gaining access to the temporary directory, an attacker could exploit this vulnerability to obtain sensitive information, and use this information to launch further attacks against the affected system.",Unproven,5.5,CVE-2020-29582,JetBrains Kotlin 1.4,Obtain Information,Low,Local,Low,High,None,None
1,HashiCorp Nomad and Nomad Enterprise information disclosure,"HashiCorp Nomad and Nomad Enterprise could allow a remote attacker to obtain sensitive information, caused by improper isolation mechanisms within Nomads exec and java task drivers. By sending a specially-crafted request, a remote attacker could exploit this vulnerability to obtain sensitive information.",Unproven,5.3,CVE-2021-3283,HashiCorp Nomad 0.12.9,Obtain Information,None,Network,Low,Low,None,None
2,IBM QRadar SIEM code execution,"IBM QRadar SIEM 7.4.0 to 7.4.2 Patch 1 and 7.3.0 to 7.3.3 Patch 7 could allow a remote attacker to execute arbitrary commands on the system, caused by insecure deserialization of user-supplied content by the Java deserialization function. By sending a malicious serialized Java object, an attacker could exploit this vulnerability to execute arbitrary commands on the system.  IBM X-Force ID:  190912.",Unproven,6.3,CVE-2020-4888 ,IBM QRadar SIEM 7.3,Gain Access,Low,Network,Low,Low,Low,Low
3,Apache ServiceComb code execution,"Apache ServiceComb could allow a remote authenticated attacker to execute arbitrary code on the system, caused by an unsafe deserialization when handler-router component is enabled in servicecomb-java-chassis. By sending specially-crafted input, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,8.8,CVE-2020-17532,Apache ServiceComb 2.0.0,Gain Access,Low,Network,Low,High,High,High
4,Oracle Database Server Java VM unspecified,"An unspecified vulnerability in Oracle Database Server related to the Java VM component could allow an authenticated attacker to cause no confidentiality impact, high integrity impact, and no availability impact.",Unproven,4.8,CVE-2021-1993,Oracle Database Server 12.1.0.2,Other,Low,Network,High,None,High,None
5,Aruba AirWave Glass command execution,"Aruba AirWave Glass could allow a remote attacker to execute arbitrary commands on the system, caused by unsafe Java deserialization. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary commands on the system.",Unproven,9.8,CVE-2020-24639,Aruba AirWave Glass 1.3.2,Gain Access,None,Network,Low,High,High,High
6,Aruba AirWave Glass command execution,"Aruba AirWave Glass could allow a remote attacker to execute arbitrary commands on the system, caused by unsafe Java deserialization. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary commands on the system.",Unproven,7.2,CVE-2020-24638,Aruba AirWave Glass 1.3.2,Gain Access,High,Network,Low,High,High,High
7,Apache HTML/Java API privilege escalation,"Apache HTML/Java API could allow a local authenticated attacker to gain elevated privileges on the system, caused by a race condition between the deletion of the temporary file and the creation of the temporary directory in ""webkit"" subproject. By sending a specially-crafted request, an authenticated attacker could exploit this vulnerability to gain elevated privileges.",Unproven,7.8,CVE-2020-17534,Apache HTML/Java API 1.7,Gain Privileges,Low,Local,Low,High,High,High
8,Kubernetes Java Client directory traversal,"Kubernetes Java Client could allow a remote attacker to traverse directories on the system, caused by improper validation of tarball files copied from a pod. An attacker could use a specially-crafted tarball file containing ""dot dot"" sequences (/../) to overwrite arbitrary files on the system.",Unproven,7.5,CVE-2020-8570,Kubernetes Java Client 9.0.1,Obtain Information,None,Network,Low,None,High,None
9,H2 Database JNI code execution,"H2 Database could allow a local attacker to execute arbitrary code on the system, caused by improper input validation by the Java Native Interface (JNI). By compiling and running Java code, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Proof of Concept,8.4,,H2 Database 1.4.199,Gain Access,None,Local,Low,High,High,High
10,BrowserUp Proxy code execution,"BrowserUp Proxy could allow a remote attacker to execute arbitrary code on the system, caused by a server-side template injection flaw. By sending a specially-crafted request using Java EL expressions, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,10,CVE-2020-26282,BrowserUp BrowserUp Proxy 2.1.1,Gain Access,None,Network,Low,High,High,High
11,Legion of the Bouncy Castle BC Java security bypass,"Legion of the Bouncy Castle BC Java could allow a remote attacker to bypass security restrictions. The OpenBSDBCrypt.checkPassword utility method compares incorrect data when checking the password. By using brute force techniques, an attacker could exploit this vulnerability to allow incorrect passwords to indicate they were matching with previously hashed ones that were different.",Unproven,9,CVE-2020-28052,Bouncy Castle Legion of the Bouncy Castle BC Java 1.65,Bypass Security,None,Network,High,High,High,High
12,Google Android information disclosure,"Google Android could allow a remote attacker to obtain sensitive information, caused by improper input validation in the isSubmittable and showWarningMessagesIfAppropriate of WifiConfigController.java and WifiConfigController2.java. By sending a specially-crafted request, a remote attacker could exploit this vulnerability to obtain sensitive information.",Unproven,5.3,CVE-2020-27055,Google Android,Obtain Information,None,Network,Low,Low,None,None
13,Google Android privilege escalation,"Google Android could allow a local attacker to gain elevated privileges on the system, caused by an insecure default value in openAssetFileListener of ContactsProvider2.java. By executing a specially-crafted program, an attacker could exploit this vulnerability to escalate privileges.",Unproven,8.4,CVE-2020-0486,Google Android,Gain Privileges,None,Local,Low,High,High,High
14,Wildfly denial of service,"Wildfly is vulnerable to a denial of service, caused by a memory leak when an application uses the OpenTracing API's java-interceptors. By sending a specially-crafted, a remote attacker could exploit this vulnerability to cause a denial of service.",Unproven,5.3,CVE-2020-27822,Wildfly Wildfly 19.1.0.Final,Denial of Service,None,Network,Low,None,None,Low
15,Microsoft Windows code execution,"Microsoft Windows could allow a remote attacker to execute arbitrary code on the system, caused by improper handling of objects in memory by the Visual Studio Code Java Extension Pack. By persuading a victim to open specially-crafted content, an attacker could exploit this vulnerability to execute arbitrary code on the system with privileges of the victim.",Unproven,7.8,CVE-2020-17159,Microsoft Visual Studio Code Language Support for Java Extension,Gain Access,None,Local,Low,High,High,High
16,Microsoft Azure SDK for Java security bypass,Microsoft Azure SDK for Java could allow a remote attacker to bypass security restrictions. An attacker could exploit this vulnerability to bypass security feature to cause impact on confidentiality.,Unproven,7.4,CVE-2020-16971,Microsoft Azure SDK for Java,Bypass Security,None,Network,High,High,High,None
17,SAP NetWeaver AS JAVA denial of service,"SAP NetWeaver AS JAVA is vulnerable to a denial of service, caused by an unrestricted file upload flaw. By uploading a specially-crafted file, a remote authenticated attacker could exploit this vulnerability to cause the application to crash.",Unproven,6.5,CVE-2020-26826,SAP NetWeaver AS Java 7.31,Denial of Service,Low,Network,Low,None,None,High
18,SAP NetWeaver AS JAVA (P2P Cluster Communication) security bypass,"SAP NetWeaver AS JAVA (P2P Cluster Communication) could allow a remote attacker to bypass security restrictions, caused by improper authentication validation. By sending a specially-crafted request, an attacker could exploit this vulnerability to gain access to system administration functions or shut down the system.",Unproven,10,CVE-2020-26829,SAP NetWeaver AS Java 7.11,Bypass Security,None,Network,Low,High,High,High
19,SAP NetWeaver AS JAVA information disclosure,"SAP NetWeaver AS JAVA could allow a remote authenticated attacker to obtain sensitive information, caused by the missing of encryption for the key material. By sending a specially-crafted request, an attacker could exploit this vulnerability to obtain application data and client credentials information, and use this information to launch further attacks against the affected system.",Unproven,5.4,CVE-2020-26816,SAP NetWeaver AS Java 7.10,Obtain Information,High,Adjacent Network,High,High,None,None
20,Cron-utils code execution,"Cron-utils could allow a remote attacker to execute arbitrary code on the system, caused by a template Injection vulnerability. By sending a specially-crafted request, an attacker could exploit this vulnerability to inject arbitrary Java EL expressions and execute arbitrary code on the system.",Unproven,9.8,CVE-2020-26238,Cron-utils Cron-utils 9.1.2,Gain Access,None,Network,Low,High,High,High
21,Apache Unomi code execution,"Apache Unomi could allow a remote attacker to execute arbitrary code on the system, caused by a scripting security issue. By sending a specially-crafted request with MVEL and OGNL expressions, an attacker could exploit this vulnerability to execute arbitrary code with the permission level of the running Java process.",Unproven,9.8,CVE-2020-13942,Apache Unomi 1.5,Gain Access,None,Network,Low,High,High,High
22,Cisco Security Manager command execution,"Cisco Security Manager could allow a remote attacker to execute arbitrary commands on the system, caused by insecure deserialization of user-supplied content by the affected software. By sending a specially crafted serialized Java object to a specific listener on an affected system, an attacker could exploit this vulnerability to execute arbitrary commands on the device with the privileges of NT AUTHORITY\SYSTEM on the Windows target host.",Unproven,8.1,CVE-2020-27131,Cisco Security Manager 4.21,Gain Access,None,Network,High,High,High,High
23,SAP NetWeaver AS JAVA privilege escalation,"SAP NetWeaver AS JAVA could allow a remote authenticated attacker to gain elevated privileges on the system, caused by improper input validation. By uploading a specially-crafted file to execute OS commands, an authenticated attacker could exploit this vulnerability to gain elevated privileges.",Unproven,9.1,CVE-2020-26820,SAP NetWeaver AS Java 7.20,Gain Privileges,High,Network,Low,High,High,High
24,SAP Solution Manager (JAVA stack) security bypass,"SAP Solution Manager (JAVA stack) could allow a remote attacker to bypass security restrictions, caused by missing authorization checks in the Upgrade Legacy Ports Service. By sending a specially-crafted request, an attacker could exploit this vulnerability to cause impact to the integrity and availability of the service.",Unproven,10,CVE-2020-26824,SAP Solution Manager 7.2,Bypass Security,None,Network,Low,None,High,High
25,SAP Solution Manager (JAVA stack) security bypass,"SAP Solution Manager (JAVA stack) could allow a remote attacker to bypass security restrictions, caused by missing authorization checks in the Upgrade Diagnostics Agent Connection Service. By sending a specially-crafted request, an attacker could exploit this vulnerability to cause impact to the integrity and availability of the service.",Unproven,10,CVE-2020-26823,SAP Solution Manager 7.2,Bypass Security,None,Network,Low,None,High,High
26,SAP Solution Manager (JAVA stack) security bypass,"SAP Solution Manager (JAVA stack) could allow a remote attacker to bypass security restrictions, caused by missing authorization checks in the SVG Converter Service. By sending a specially-crafted request, an attacker could exploit this vulnerability to cause impact to the integrity and availability of the service.",Unproven,10,CVE-2020-26821,SAP Solution Manager 7.2,Bypass Security,None,Network,Low,None,High,High
27,SAP Solution Manager (JAVA stack) security bypass,"SAP Solution Manager (JAVA stack) could allow a remote attacker to bypass security restrictions, caused by missing authorization checks in the Outside Discovery Configuration Service. By sending a specially-crafted request, an attacker could exploit this vulnerability to cause impact to the integrity and availability of the service.",Unproven,10,CVE-2020-26822,SAP Solution Manager 7.2,Bypass Security,None,Network,Low,None,High,High
28,"Oracler Java SE, Java SE Embedded unspecified","An unspecified vulnerability in Java SE, Java SE Embedded related to the Libraries component could allow an unauthenticated attacker to cause no confidentiality impact, low integrity impact, and no availability impact.",Unproven,3.7,CVE-2020-14797,Oracle Java SE Embedded  8u261,Other,None,Network,High,None,Low,None
29,Oracle Database Server Java VM unspecified,"An unspecified vulnerability in Oracle Database Server related to the Java VM component could allow an authenticated attacker to cause no confidentiality impact, low integrity impact, and no availability impact.",Unproven,3.1,CVE-2020-14743,Oracle Database Server 11.2.0.4,Other,Low,Network,High,None,Low,None
30,"Oracle Java SE, Java SE Embedded unspecified","An unspecified vulnerability in Java SE, Java SE Embedded related to the Libraries component could allow an unauthenticated attacker to cause no confidentiality impact, low integrity impact, and no availability impact.",Unproven,3.7,CVE-2020-14782,Oracle Java SE Embedded  8u261,Other,None,Network,High,None,Low,None
31,"Oracle Java SE, Java SE Embedded unspecified","An unspecified vulnerability in Java SE, Java SE Embedded related to the Libraries component could allow an unauthenticated attacker to cause no confidentiality impact, low integrity impact, and no availability impact.",Unproven,3.1,CVE-2020-14798,Oracle Java SE Embedded  8u261,Other,None,Network,High,None,Low,None
32,"Oracle Java SE, Java SE Embedded unspecified","An unspecified vulnerability in  related to the   component could allow an unauthenticated attacker to cause low confidentiality impact, low integrity impact, and no availability impact.",Unproven,4.2,CVE-2020-14792,Oracle Java SE Embedded  8u261,Other,None,Network,High,Low,Low,None
33,"Oracle Java SE, Java SE Embedded denial of service","An unspecified vulnerability in Java SE, Java SE Embedded related to the Serialization component could allow an unauthenticated attacker to cause a denial of service resulting in a low availability impact using unknown attack vectors.",Unproven,3.7,CVE-2020-14779,Oracle Java SE Embedded  8u261,Denial of Service,None,Network,High,None,None,Low
34,"Oracle Java SE, Java SE Embedded information disclosure","An unspecified vulnerability in Java SE, Java SE Embedded related to the Libraries component could allow an unauthenticated attacker to obtain sensitive information resulting in a low confidentiality impact using unknown attack vectors.",Unproven,3.1,CVE-2020-14796,Oracle Java SE Embedded  8u261,Obtain Information,None,Network,High,Low,None,None
35,"Oracle Java SE, Java SE Embedded information disclosure","An unspecified vulnerability in Java SE, Java SE Embedded related to the JNDI component could allow an unauthenticated attacker to obtain sensitive information resulting in a low confidentiality impact using unknown attack vectors.",Unproven,3.7,CVE-2020-14781,Oracle Java SE Embedded  8u261,Obtain Information,None,Network,High,Low,None,None
36,Tink information disclosure,"Tink could allow a remote attacker to obtain sensitive information, caused by the mis-handling of invalid unicode characters in the Java implementation. By changing the ID part of a ciphertext, a remote attacker could exploit this vulnerability to obtain sensitive information.",Unproven,5.3,CVE-2020-8929,Tink Tink 1.4,Obtain Information,None,Network,Low,Low,None,None
37,SAP NetWeaver AS Java open redirect,"SAP NetWeaver AS Java could allow a remote attacker to conduct phishing attacks, caused by an open redirect vulnerability in the Start Page. An attacker could exploit this vulnerability using a specially-crafted URL to redirect a victim to arbitrary Web sites.",Unproven,4.7,CVE-2020-6365,SAP NetWeaver AS Java 7.10,Gain Access,None,Network,Low,None,Low,None
38,SAP NetWeaver Application Server Java cross-site scripting,"SAP NetWeaver Application Server Java is vulnerable to cross-site scripting, caused by improper validation of user-supplied input. A remote attacker could exploit this vulnerability using a specially-crafted URL to execute script in a victim's Web browser within the security context of the hosting Web site, once the URL is clicked. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",High,6.1,CVE-2020-6319,SAP NetWeaver AS Java 7.10,Cross-Site Scripting,None,Network,Low,Low,Low,None
39,IBM Curam Social Program Management denial of service,"An improper input validation before calling java readLine() method may impact IBM Curam Social Program Management 7.0.9 and 7.0.10, which could result in a denial of service.  IBM X-Force ID:  189159.",Unproven,6.5,CVE-2020-4781 ,IBM Curam SPM 7.0.9,Denial of Service,Low,Network,Low,None,None,High
40,IBM QRadar SIEM code execution,"IBM QRadar SIEM 7.3 and 7.4 could allow a remote attacker to execute arbitrary commands on the system, caused by insecure deserialization of user-supplied content by the Java deserialization function. By sending a malicious serialized Java object, an attacker could exploit this vulnerability to execute arbitrary commands on the system.  IBM X-Force ID:  176140.",Proof of Concept,6.3,CVE-2020-4280 ,IBM QRadar SIEM 7.3.0,Gain Access,Low,Network,Low,Low,Low,Low
41,SmartBear Collaborator Server command execution,"SmartBear Collaborator Server could allow a remote attacker to execute arbitrary commands on the system, caused by a post-authentication Java deserialization vulnerability. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary commands on the system.",Unproven,9.8,CVE-2020-26118,SmartBear Collaborator Server 13.3.13302,Gain Access,None,Network,Low,High,High,High
42,Apache Tapestry information disclosure,"Apache Tapestry could allow a remote attacker to obtain sensitive information. By crafting specific URLs, an attacker could exploit this vulnerability to list and download Java webapp files inside WEB-INF.",Unproven,5.3,CVE-2020-13953,Apache Tapestry 5.4.0,Obtain Information,None,Network,Low,Low,None,None
43,IBM Maximo Asset Management code execution,"IBM Maximo Asset Management 7.6.0 and 7.6.1 could allow a remote authenticated attacker to execute arbitrary code on the system, caused by an unsafe deserialization in Java. By sending specially-crafted  request, an attacker could exploit this vulnerability to execute arbitrary code on the system.  IBM X-Force ID:  182396.",Unproven,8.8,CVE-2020-4521 ,IBM Maximo Asset Management 7.6.0,Gain Access,Low,Network,Low,High,High,High
44,XWiki xwiki-platform code execution,"XWiki xwiki-platform could allow a remote authenticated attacker to execute arbitrary code on the system, caused by improper access control. By gaining access to the application server Servlet context, an attacker could exploit this vulnerability to instantiate arbitrary Java objects and execute arbitrary code on the system.",Unproven,8.8,CVE-2020-15171,XWiki xwiki-platform 11.10.4,Gain Access,Low,Network,Low,High,High,High
45,Apache ActiveMQ code execution,"Apache ActiveMQ could allow a remote attacker to execute arbitrary code on the system, caused by improper input validation by the RMIConnectorServer function. By creating a specially-crafted avax.management.loading.MLet MBean, an attacker could exploit this vulnerability to cause the Java application to execute arbitrary code on the system.",Unproven,9.8,CVE-2020-11998,Apache ActiveMQ 5.15.12,Gain Access,None,Network,Low,High,High,High
46,SAP NetWeaver AS Java cross-site scripting,"SAP NetWeaver AS Java is vulnerable to cross-site scripting, caused by improper validation of user-supplied input. A remote authenticated attacker could exploit this vulnerability to inject malicious script into a Web page which would be executed in a victim's Web browser within the security context of the hosting Web site, once the page is viewed. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",High,5.4,CVE-2020-6313,SAP NetWeaver 7.40,Cross-Site Scripting,Low,Network,Low,Low,Low,None
47,Noise-Java ChaChaPolyCipherState.encryptWithAd function code execution,"Noise-Java could allow a remote attacker to execute arbitrary code on the system, caused by an out-of-bounds access flaw in the ChaChaPolyCipherState.encryptWithAd function. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary code, obtain sensitive information or cause a denial of service condition on the system.",Proof of Concept,9.8,CVE-2020-25021,Noise-Java Noise-Java,Gain Access,None,Network,Low,High,High,High
48,Noise-Java AESGCMFallbackCipherState.encryptWithAd function code execution,"Noise-Java could allow a remote attacker to execute arbitrary code on the system, caused by an out-of-bounds access flaw in the AESGCMFallbackCipherState.encryptWithAd function. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary code, obtain sensitive information or cause a denial of service condition on the system.",Proof of Concept,9.8,CVE-2020-25022,Noise-Java Noise-Java,Gain Access,None,Network,Low,High,High,High
49,Noise-Java AESGCMOnCtrCipherState.encryptWithAd function code execution,"Noise-Java could allow a remote attacker to execute arbitrary code on the system, caused by an out-of-bounds access flaw in the AESGCMOnCtrCipherState.encryptWithAd function. By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary code, obtain sensitive information or cause a denial of service condition on the system.",Proof of Concept,9.8,CVE-2020-25023,Noise-Java Noise-Java,Gain Access,None,Network,Low,High,High,High
50,Maven Extension plugin for Gradle Enterprise code execution,"Maven Extension plugin for Gradle Enterprise could allow a remote attacker to execute arbitrary code on the system, caused by an unsafe deserialization in the Java standard library ObjectInputStream. By sending a specially-crafted deserialization gadget chain, an attacker could exploit this vulnerability to execute arbitrary code or gain elevated privileges on the system.",Unproven,9.8,CVE-2020-15777,Gradle Maven Extension plugin for Gradle Enterprise 1.5,Gain Privileges,None,Network,Low,High,High,High
51,Google Android information disclosure,"Google Android could allow a local attacker to obtain sensitive information, caused by a missing permission check in Java network APIs. By executing a specially crafted program, an attacker could exploit this vulnerability to obtain sensitive information.",Unproven,6.2,CVE-2020-0293,Google Android,Obtain Information,None,Local,Low,High,None,None
52,Thales multiple modules security bypass,"Thales Cinterion could allow a physical attacker to bypass security restrictions, caused by a flaw in the Java code within the EHS8 M2M module and other communication modules in its line. By pivoting onto the providers backend network, an attacker could bypass security mechanisms to steal confidential information, take control of devices and gain access to the networks or VPNs.",Unproven,6.2,CVE-2020-15858,Thales EHS 8,Bypass Security,None,Physical,Low,High,High,Low
53,SAP NetWeaver AS JAVA denial of service,"SAP NetWeaver AS JAVA is vulnerable to a denial of service, caused by the failure to perform any authentication checks for a web service. An attacker could exploit this vulnerability to send several payloads and cause a denial of service.",Unproven,7.5,CVE-2020-6309,SAP NetWeaver AS Java 7.10,Denial of Service,None,Network,Low,None,None,High
54,NetApp Active IQ Unified Manager for Linux code execution,"NetApp Active IQ Unified Manager for Linux could allow a local authenticated attacker to execute arbitrary code on the system, caused by a flaw in the Java Management Extension Remote Method Invocation (JMX RMI). By sending a specially-crafted request, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,7.8,CVE-2020-8574,NetApp Active IQ Unified Manager for Linux 9.5,Gain Access,Low,Local,Low,High,High,High
55,Oracle JDK and OpenJDK JavaFX code execution,"Oracle JDK and OpenJDK JavaFX could allow a remote attacker to execute arbitrary code on the system, caused by the failure to properly restrict Java method execution by the WebEngine component. By persuading a victim to visit specially-crafted web content, an attacker could exploit this vulnerability to execute arbitrary Java code on the system.",Unproven,8.8,,Oracle JDK 8u241,Gain Access,None,Network,Low,High,High,High
56,Red Hat JBoss Enterprise Application Platform denial of service,"Red Hat JBoss Enterprise Application Platform is vulnerable to a denial of service, caused by not removing EJB transaction object properly in the Enterprise Java Beans (EJB) client in Wildfly. By sending a specially crafted request, a remote authenticated attacker could exploit this vulnerability to make the service unavailable.",Unproven,6.5,CVE-2020-14297,Red Hat JBoss Enterprise Application Platform 7,Denial of Service,Low,Network,Low,None,None,High
57,Red Hat JBoss Enterprise Application Platform denial of service,"Red Hat JBoss Enterprise Application Platform is vulnerable to a denial of service, caused by not removing SessionOpenInvocations properly in the Enterprise Java Beans (EJB) client in Wildfly. By sending a specially-crafted request, a remote authenticated attacker could exploit this vulnerability to make the service unavailable.",Unproven,6.5,CVE-2020-14307,Red Hat JBoss Enterprise Application Platform 7,Denial of Service,Low,Network,Low,None,None,High
58,Nippy code execution,"Nippy could allow a remote attacker to execute arbitrary code on the system, caused by an unsafe deserialization in the Java Serializable interface. By sending specially-crafted input, an attacker could exploit this vulnerability to execute arbitrary code on the system.",Unproven,9.8,CVE-2020-24164,Nippy Nippy 2.14.0,Gain Access,None,Network,Low,High,High,High
59,SAP NetWeaver AS JAVA (IIOP service) (SERVERCORE) and SAP NetWeaver AS JAVA (IIOP service) (CORE-TOOLS) server-side request forgery,"SAP NetWeaver AS JAVA (IIOP service) (SERVERCORE) and SAP NetWeaver AS JAVA (IIOP service) (CORE-TOOLS) are vulnerable to server-side request forgery, caused by improper access control. By sending a specially-crafted request, an attacker could exploit this vulnerability to conduct SSRF attack to send a request from a vulnerable web application.",Unproven,5.8,CVE-2020-6282,SAP NetWeaver AS Java 7.10,Gain Access,None,Network,Low,Low,None,None
60,SAP NetWeaver - XML Toolkit for JAVA information disclsoure,"SAP NetWeaver - XML Toolkit for JAVA (ENGINEAPI) could allow a remote authenticated attacker to obtain sensitive information, caused by the failure to restrict access to information. An attacker could exploit this vulnerability to obtain sensitive information.",Unproven,7.7,CVE-2020-6285,SAP NetWeaver XML Toolkit for JAVA (ENGINEAPI) 7.10,Obtain Information,Low,Network,Low,High,None,None
61,Oracle Java SE unspecified,An unspecified vulnerability in Oracle Java SE related to the JavaFX component could allow an unauthenticated attacker to take control of the system.,Unproven,8.3,CVE-2020-14664,Oracle Java SE 8u251,Other,None,Network,High,High,High,High
62,Oracle Java SE denial of service,An unspecified vulnerability in Oracle Java SE related to the ImageIO component could allow an unauthenticated attacker to cause a denial of service resulting in a low availability impact using unknown attack vectors.,Unproven,5.3,CVE-2020-14562,Oracle Java SE 11.0.7,Denial of Service,None,Network,Low,None,None,Low
63,Oracle Java SE unspecified,"An unspecified vulnerability in Oracle Java SE related to the Hotspot component could allow an unauthenticated attacker to cause no confidentiality impact, low integrity impact, and no availability impact.",Unproven,3.7,CVE-2020-14573,Oracle Java SE 11.0.7,Other,None,Network,High,None,Low,None
